0, -0.757685, 0.675017, 0.160863, -0.575401, 0.796779, -0.0972307, -0.542363, 1.2069, -0.26096, -0.0359659
0.00833333, -0.753093, 0.676092, 0.170755, -0.576253, 0.792208, -0.0962727, -0.580541, 1.21397, -0.258202, -0.0447104
0.0166667, -0.74864, 0.676896, 0.177129, -0.574164, 0.78899, -0.0970996, -0.617649, 1.22136, -0.247495, -0.0489125
0.025, -0.744305, 0.67747, 0.180202, -0.569282, 0.786923, -0.0992152, -0.653106, 1.22843, -0.232111, -0.0489269
0.0333333, -0.740039, 0.677843, 0.180749, -0.562227, 0.786055, -0.102431, -0.686821, 1.23463, -0.215303, -0.0458509
0.0416667, -0.735809, 0.67805, 0.1798, -0.553967, 0.786117, -0.106371, -0.71924, 1.23969, -0.200824, -0.0410216
0.05, -0.731551, 0.67814, 0.178216, -0.545154, 0.786792, -0.110835, -0.750467, 1.24302, -0.189156, -0.0356766
0.0583333, -0.72728, 0.678133, 0.176129, -0.535827, 0.78793, -0.115876, -0.780329, 1.24471, -0.182522, -0.02983
0.0666667, -0.723013, 0.678053, 0.173619, -0.526115, 0.78937, -0.121062, -0.808285, 1.24417, -0.177801, -0.0235347
0.075, -0.718743, 0.677904, 0.171121, -0.516548, 0.791077, -0.12605, -0.834599, 1.24131, -0.175359, -0.0173616
0.0833333, -0.714454, 0.677689, 0.168476, -0.50695, 0.793015, -0.130661, -0.85879, 1.23577, -0.17485, -0.0111495
0.0916667, -0.710128, 0.677404, 0.165114, -0.496598, 0.79526, -0.135132, -0.879922, 1.22712, -0.175908, -0.00429181
0.1, -0.705736, 0.677032, 0.160748, -0.485149, 0.797873, -0.139646, -0.897508, 1.21511, -0.178116, 0.00341585
0.108333, -0.701225, 0.676563, 0.155111, -0.472237, 0.800766, -0.144287, -0.911143, 1.19968, -0.180867, 0.0120757
0.116667, -0.696548, 0.675996, 0.147723, -0.457154, 0.803807, -0.149319, -0.920233, 1.18093, -0.183269, 0.0220407
0.125, -0.691673, 0.675345, 0.138118, -0.439309, 0.807011, -0.154794, -0.924261, 1.15897, -0.184301, 0.0337057
0.133333, -0.686583, 0.674614, 0.126099, -0.418281, 0.810094, -0.161262, -0.923171, 1.13417, -0.183102, 0.0472639
0.141667, -0.681284, 0.673813, 0.112045, -0.394667, 0.813223, -0.167998, -0.91769, 1.10696, -0.178647, 0.0623712
0.15, -0.675787, 0.672944, 0.096484, -0.368959, 0.816038, -0.175094, -0.908814, 1.07789, -0.170128, 0.0785145
0.158333, -0.670096, 0.672027, 0.0798537, -0.341614, 0.818727, -0.182315, -0.896856, 1.04723, -0.158348, 0.095266
0.166667, -0.664227, 0.67106, 0.0627862, -0.313184, 0.82111, -0.190195, -0.882485, 1.01549, -0.144296, 0.112016
0.175, -0.658185, 0.670064, 0.0456973, -0.284292, 0.823263, -0.198041, -0.865793, 0.982827, -0.129182, 0.128362
0.183333, -0.651972, 0.669043, 0.0290103, -0.255363, 0.824999, -0.20598, -0.847357, 0.950391, -0.114627, 0.143873
0.191667, -0.645601, 0.668007, 0.0134719, -0.22725, 0.826403, -0.213867, -0.828413, 0.919365, -0.101429, 0.157748
0.2, -0.639063, 0.666957, -0.000389847, -0.200292, 0.82703, -0.222072, -0.809594, 0.89043, -0.0904135, 0.169369
